"","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P"
"1",0.4585,0.437,0.4181,0.4774,0.4175,0.7316,0.7245,0.7196,0.64,0.7163,0.4979,0.5375,0.5553,0.5124,0.5392,0.3357,0.386,0.4335,0.4392,0.48,0.6215,0.571,0.5666,0.6233,0.6635
"2",0.529,0.5152,0.5501,0.5494,0.5295,0.6777,0.6919,0.7052,0.7175,0.6366,0.4351,0.4285,0.3665,0.4239,0.3975,0.4397,0.484,0.448,0.5298,0.4715,0.5122,0.5482,0.49,0.5712,0.5375
"3",0.633,0.658,0.6923,0.6888,0.7095,0.486,0.526,0.4714,0.46,0.4904,0.7038,0.677,0.7147,0.7204,0.7162,0.5695,0.689,0.6085,0.6382,0.6125,0.5179,0.6045,0.5339,0.5067,0.5245
"4",0.4885,0.5256,0.5351,0.5834,0.5415,0.3609,0.4001,0.4137,0.39,0.3762,0.5492,0.5515,0.6114,0.6022,0.5917,0.4586,0.503,0.5245,0.5086,0.4875,0.3935,0.4176,0.4992,0.4538,0.4915
"5",0.5105,0.412,0.4198,0.4458,0.433,0.6245,0.6728,0.6249,0.613,0.636,0.4794,0.5305,0.4969,0.4595,0.4588,0.4411,0.5235,0.44,0.5282,0.407,0.483,0.5571,0.5375,0.6305,0.539
"6",0.6125,0.5438,0.5581,0.5674,0.5375,0.3034,0.3468,0.2789,0.411,0.2975,0.4799,0.5015,0.4778,0.5201,0.5211,0.2434,0.3455,0.3535,0.3214,0.2815,0.4907,0.4438,0.546,0.5442,0.548
"7",0.646,0.597,0.7052,0.6482,0.7135,0.5982,0.562,0.6269,0.588,0.5762,0.5736,0.624,0.5949,0.5942,0.5524,0.6501,0.7125,0.694,0.7506,0.712,0.7202,0.6115,0.6567,0.654,0.6955
"8",0.698,0.6052,0.6668,0.6206,0.57,0.4064,0.365,0.4233,0.4375,0.404,0.5729,0.6435,0.6008,0.5926,0.6033,0.7615,0.751,0.7515,0.78,0.7115,0.7544,0.6568,0.7003,0.6692,0.7445
"9",0.5905,0.5506,0.5869,0.5538,0.61,0.4706,0.554,0.4831,0.4825,0.4695,0.5794,0.551,0.5748,0.5417,0.5642,0.5652,0.518,0.5415,0.6594,0.5155,0.5028,0.4905,0.5192,0.5462,0.507
"10",0.3345,0.3832,0.3375,0.367,0.3845,0.6692,0.6656,0.6484,0.653,0.6861,0.6553,0.643,0.7082,0.6781,0.6827,0.5113,0.684,0.5235,0.5988,0.6445,0.5586,0.6634,0.5591,0.6045,0.5745
